图像路径,文件名,真实标签,真实标签索引,预测标签,预测标签索引,是否预测正确,预测置信度,真实标签置信度,概率_dyed-lifted-polyps,概率_dyed-resection-margins,概率_esophagitis,概率_normal-cecum,概率_normal-pylorus,概率_normal-z-line,概率_polyps,概率_ulcerative-colitis
./dataset/train\dyed-lifted-polyps\0053d7cd-549c-48cd-b370-b4ad64a8098a.jpg,0053d7cd-549c-48cd-b370-b4ad64a8098a.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.994941,0.994941,0.994941,0.0040180655,1.2974198e-06,7.5791366e-05,4.1416846e-05,8.2250635e-06,0.0006080331,0.0003062165
./dataset/train\dyed-lifted-polyps\007d5aa7-7289-4bad-aa4a-5c3a259e9b19.jpg,007d5aa7-7289-4bad-aa4a-5c3a259e9b19.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9947402,0.9947402,0.9947402,0.004902555,8.6312815e-07,0.00011737861,1.5164814e-05,5.0476997e-06,2.2747525e-05,0.00019607563
./dataset/train\dyed-lifted-polyps\00cf9508-6ad1-4db9-840a-519c1d515c30.jpg,00cf9508-6ad1-4db9-840a-519c1d515c30.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9902036,0.9902036,0.9902036,0.009661499,1.03482225e-05,6.34144e-06,3.0591462e-05,1.4215529e-05,6.254365e-06,6.70697e-05
./dataset/train\dyed-lifted-polyps\018ed8ed-e489-4bbb-8a99-3346db9ec160.jpg,018ed8ed-e489-4bbb-8a99-3346db9ec160.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9951107,0.9951107,0.9951107,0.0048045754,2.664076e-07,3.3282206e-06,4.4489984e-06,3.3188705e-06,6.076486e-06,6.7279594e-05
./dataset/train\dyed-lifted-polyps\0195c5a6-5ddf-471c-9868-2ea66b81f440.jpg,0195c5a6-5ddf-471c-9868-2ea66b81f440.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9950047,0.9950047,0.9950047,0.0034236182,5.9777017e-06,1.515954e-06,8.427064e-06,3.0321726e-06,0.001250571,0.00030214895
./dataset/train\dyed-lifted-polyps\01d38b8f-74b2-4147-9519-448d05bf8745.jpg,01d38b8f-74b2-4147-9519-448d05bf8745.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9741853,0.9741853,0.9741853,0.023379209,5.250135e-05,0.0003000049,0.0001443635,9.433373e-06,2.7570632e-05,0.0019017668
./dataset/train\dyed-lifted-polyps\02c10865-9d23-4f6b-aa5d-f73b63b6d67f.jpg,02c10865-9d23-4f6b-aa5d-f73b63b6d67f.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.7833498,0.7833498,0.7833498,0.21647264,2.1118827e-05,1.057969e-05,1.0788026e-05,1.7179495e-05,9.172236e-05,2.6094394e-05
./dataset/train\dyed-lifted-polyps\031a6e89-d3b7-48c8-8e2f-db991030f959.jpg,031a6e89-d3b7-48c8-8e2f-db991030f959.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99027085,0.99027085,0.99027085,0.0096054,2.3777602e-07,2.8290688e-06,9.427972e-06,1.6767641e-06,3.1457203e-06,0.00010639557
./dataset/train\dyed-lifted-polyps\03a49a2e-c8d4-4dcd-b5e7-3d1722ed5db3.jpg,03a49a2e-c8d4-4dcd-b5e7-3d1722ed5db3.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9943686,0.9943686,0.9943686,0.0053954357,1.1719447e-05,1.1459151e-05,1.3148398e-05,2.271874e-05,1.2353625e-05,0.00016458702
./dataset/train\dyed-lifted-polyps\041daea7-c9cd-43f9-ae77-b8ecb694a6a2.jpg,041daea7-c9cd-43f9-ae77-b8ecb694a6a2.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9613547,0.9613547,0.9613547,0.038488325,3.734477e-07,0.000110308174,6.841646e-06,1.4496237e-06,2.3575642e-05,1.440166e-05
./dataset/train\dyed-lifted-polyps\051b0c4e-f7ad-417b-8f4f-2e76c2d6d6e7.jpg,051b0c4e-f7ad-417b-8f4f-2e76c2d6d6e7.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.966824,0.966824,0.966824,0.031223657,5.596348e-05,0.00020704979,1.452954e-05,4.0965624e-05,1.2164141e-05,0.001621662
./dataset/train\dyed-lifted-polyps\05cec76d-281a-4901-b2e7-de98c0207088.jpg,05cec76d-281a-4901-b2e7-de98c0207088.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.97737634,0.97737634,0.97737634,0.022314843,2.5114628e-05,7.197959e-06,2.5495774e-05,0.00024380417,3.5689789e-06,3.5962676e-06
./dataset/train\dyed-lifted-polyps\07b354f4-412e-4fb3-95aa-75b7409ce334.jpg,07b354f4-412e-4fb3-95aa-75b7409ce334.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.96361965,0.96361965,0.96361965,0.03625749,3.8521334e-06,1.6381166e-05,3.133374e-07,5.086669e-06,8.478424e-06,8.8744266e-05
./dataset/train\dyed-lifted-polyps\07b4807f-5d4c-4e08-8629-6095f5b86df1.jpg,07b4807f-5d4c-4e08-8629-6095f5b86df1.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9173764,0.9173764,0.9173764,0.08102618,1.3565352e-06,0.0008033053,9.027275e-05,6.5889085e-06,0.00013934127,0.0005566026
./dataset/train\dyed-lifted-polyps\07bba164-2e5b-43ce-80fa-f6b7ce3a90bf.jpg,07bba164-2e5b-43ce-80fa-f6b7ce3a90bf.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9888178,0.9888178,0.9888178,0.011149308,1.7568957e-06,7.9342493e-07,3.0704603e-06,1.7413235e-05,1.1092e-06,8.810394e-06
./dataset/train\dyed-lifted-polyps\08aad205-0c38-4cf4-ac0b-cbd9181413a9.jpg,08aad205-0c38-4cf4-ac0b-cbd9181413a9.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9994647,0.9994647,0.9994647,0.0004484793,4.6779178e-07,4.560925e-07,2.6003497e-06,4.1578287e-06,2.1885946e-06,7.698857e-05
./dataset/train\dyed-lifted-polyps\095d7ff1-e397-4bfb-978d-83a9d3f20d40.jpg,095d7ff1-e397-4bfb-978d-83a9d3f20d40.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99943465,0.99943465,0.99943465,0.0004203874,1.1914951e-06,3.9748804e-07,2.6685937e-05,7.876249e-05,3.855481e-06,3.4140816e-05
./dataset/train\dyed-lifted-polyps\09b7e0c1-feee-4f70-a351-5a122ce92a1e.jpg,09b7e0c1-feee-4f70-a351-5a122ce92a1e.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9852733,0.9852733,0.9852733,0.014434174,4.8107327e-06,1.3396156e-05,5.5902176e-05,7.2845305e-06,0.00019723918,1.393809e-05
./dataset/train\dyed-lifted-polyps\09e454a5-e76f-4547-9b7a-4be4c5bce9ef.jpg,09e454a5-e76f-4547-9b7a-4be4c5bce9ef.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9738399,0.9738399,0.9738399,0.025869211,3.1364254e-07,0.00019939254,7.250899e-06,1.5393247e-06,2.1399217e-05,6.104802e-05
./dataset/train\dyed-lifted-polyps\0a42cb65-e906-46b3-936a-f5f1dc71f108.jpg,0a42cb65-e906-46b3-936a-f5f1dc71f108.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.99825495,0.99825495,0.99825495,0.0016433119,2.1879105e-06,1.6793826e-06,5.8395686e-05,7.875618e-06,2.8669298e-05,2.9564114e-06
./dataset/train\dyed-lifted-polyps\0a447c72-3a6f-43ac-a236-ca588f0435d4.jpg,0a447c72-3a6f-43ac-a236-ca588f0435d4.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9664523,0.9664523,0.9664523,0.03318839,1.6220189e-05,1.4394313e-06,0.00011301805,5.012671e-06,0.00022153958,2.0170985e-06
./dataset/train\dyed-lifted-polyps\0a542bb0-0172-4bc4-890d-327fa45b85b3.jpg,0a542bb0-0172-4bc4-890d-327fa45b85b3.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9917058,0.9917058,0.9917058,0.0080492925,1.3103815e-06,7.400483e-06,0.00015879136,4.3795782e-07,6.857111e-05,8.499241e-06
