图像路径,文件名,真实标签,真实标签索引,预测标签,预测标签索引,是否预测正确,预测置信度,真实标签置信度,概率_dyed-lifted-polyps,概率_dyed-resection-margins,概率_esophagitis,概率_normal-cecum,概率_normal-pylorus,概率_normal-z-line,概率_polyps,概率_ulcerative-colitis
./dataset/val\dyed-lifted-polyps\01507fbd-4d38-4525-9768-7754710f507c.jpg,01507fbd-4d38-4525-9768-7754710f507c.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.83386713,0.83386713,0.83386713,0.14408495,0.00011685336,0.00012635271,0.001206757,0.0004698727,0.019947058,0.00018103055
./dataset/val\dyed-lifted-polyps\04293e0c-1593-45d7-887f-3b6e413d97d4.jpg,04293e0c-1593-45d7-887f-3b6e413d97d4.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9991124,0.9991124,0.9991124,0.00087733846,2.9613912e-07,1.3200449e-06,5.828779e-06,7.601925e-07,1.7775975e-06,2.6368917e-07
./dataset/val\dyed-lifted-polyps\04391f36-f787-4acf-9312-ccc0e6e52f39.jpg,04391f36-f787-4acf-9312-ccc0e6e52f39.jpg,dyed-lifted-polyps,0,dyed-resection-margins,1,0,0.59207493,0.4078654,0.4078654,0.59207493,7.142473e-07,1.960301e-05,2.068024e-05,5.0913422e-06,8.639332e-06,4.9275595e-06
./dataset/val\dyed-lifted-polyps\04677c9d-9cdb-45f1-8ddd-c76a2bcf3963.jpg,04677c9d-9cdb-45f1-8ddd-c76a2bcf3963.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.8166865,0.8166865,0.8166865,0.18300456,1.5378039e-06,0.00021512512,1.0877455e-05,7.0923184e-06,1.3596105e-05,6.0721723e-05
./dataset/val\dyed-lifted-polyps\047981d3-e279-4910-bd1a-b6d3f1e2088b.jpg,047981d3-e279-4910-bd1a-b6d3f1e2088b.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.995626,0.995626,0.995626,0.00018300804,2.6487947e-05,0.00047444575,0.00040810768,0.0008298599,0.0022696436,0.00018245388
./dataset/val\dyed-lifted-polyps\0626da74-5a42-4f55-9557-b2141dc79759.jpg,0626da74-5a42-4f55-9557-b2141dc79759.jpg,dyed-lifted-polyps,0,polyps,6,0,0.9852136,0.012731841,0.012731841,0.0009785179,0.00034423126,0.0001070439,1.527812e-05,0.00014274706,0.9852136,0.000466813
./dataset/val\dyed-lifted-polyps\06976210-ea7b-4b39-8719-872997278dd6.jpg,06976210-ea7b-4b39-8719-872997278dd6.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9992761,0.9992761,0.9992761,0.0006473462,1.20108425e-05,2.0573225e-06,1.26228015e-05,1.5605434e-05,1.4023895e-05,2.0203002e-05
./dataset/val\dyed-lifted-polyps\0714e5ee-8308-43b2-8092-cc2c7b3378fd.jpg,0714e5ee-8308-43b2-8092-cc2c7b3378fd.jpg,dyed-lifted-polyps,0,dyed-resection-margins,1,0,0.82213783,0.17773588,0.17773588,0.82213783,1.4851492e-05,2.519148e-06,1.2786263e-05,1.1512418e-05,5.0059483e-05,3.4536773e-05
./dataset/val\dyed-lifted-polyps\07270b1b-84de-40d2-bbff-698bf3b91512.jpg,07270b1b-84de-40d2-bbff-698bf3b91512.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.97847444,0.97847444,0.97847444,0.021338547,7.240247e-06,7.8476805e-06,4.0111838e-05,6.0597313e-06,2.3969296e-06,0.00012336043
./dataset/val\dyed-lifted-polyps\08509852-29f4-452c-a4a6-e310edaa852d.jpg,08509852-29f4-452c-a4a6-e310edaa852d.jpg,dyed-lifted-polyps,0,dyed-lifted-polyps,0,1,0.9854784,0.9854784,0.9854784,0.013886066,4.8701135e-05,1.1405002e-06,0.0004159706,9.8464785e-05,4.105171e-05,3.0203253e-05
